"year","canton","sex","marital_status","population"
2022,"Switzerland","Male","Widowed, partnership dissolved through death",81967
2022,"Switzerland","Male","Divorced, unmarried, partnership dissolved legally",332055
2022,"Switzerland","Female","Single",1882623
2022,"Switzerland","Female","Married, in a registered partnership",1779516
2022,"Switzerland","Female","Widowed, partnership dissolved through death",321427
2022,"Switzerland","Female","Divorced, unmarried, partnership dissolved legally",451487
2022,"Zürich","Male","Single",402662
2022,"Zürich","Male","Married, in a registered partnership",316522
2022,"Zürich","Male","Widowed, partnership dissolved through death",13111
2022,"Zürich","Male","Divorced, unmarried, partnership dissolved legally",56464
2022,"Zürich","Female","Single",354051
2022,"Zürich","Female","Married, in a registered partnership",306865
2022,"Zürich","Female","Widowed, partnership dissolved through death",48949
2022,"Zürich","Female","Divorced, unmarried, partnership dissolved legally",81195
2022,"Bern / Berne","Male","Single",247307
2022,"Bern / Berne","Male","Married, in a registered partnership",217888
2022,"Bern / Berne","Male","Widowed, partnership dissolved through death",11237
2022,"Bern / Berne","Male","Divorced, unmarried, partnership dissolved legally",40301
2022,"Bern / Berne","Female","Single",221715
2022,"Bern / Berne","Female","Married, in a registered partnership",214855
2022,"Bern / Berne","Female","Widowed, partnership dissolved through death",43048
2022,"Bern / Berne","Female","Divorced, unmarried, partnership dissolved legally",54942
2022,"Luzern","Male","Single",105029
2022,"Luzern","Male","Married, in a registered partnership",89582
2022,"Luzern","Male","Widowed, partnership dissolved through death",3776
2022,"Luzern","Male","Divorced, unmarried, partnership dissolved legally",13625
2022,"Luzern","Female","Single",91726
2022,"Luzern","Female","Married, in a registered partnership",87811
2022,"Luzern","Female","Widowed, partnership dissolved through death",15069
2022,"Luzern","Female","Divorced, unmarried, partnership dissolved legally",18217
2022,"Uri","Male","Single",8888
2022,"Uri","Male","Married, in a registered partnership",8675
2022,"Uri","Male","Widowed, partnership dissolved through death",403
2022,"Uri","Male","Divorced, unmarried, partnership dissolved legally",1040
2022,"Uri","Female","Single",7138
2022,"Uri","Female","Married, in a registered partnership",8432
2022,"Uri","Female","Widowed, partnership dissolved through death",1570
2022,"Uri","Female","Divorced, unmarried, partnership dissolved legally",1170
